365,537,994,387,843,183,925,544,736,534;479,387,712,182,678,680,617,147,17,966
676,188,858,773,764,787,51,570,138,44;527,797,909,993,524,121,421,797,160,327
981,340,725,637,698,75,71,41,309,763;916,152,930,893,864,538,544,7,541,468
444,729,896,286,683,850,955,536,456,145;311,754,280,790,62,912,695,962,971,112
930,925,951,336,464,442,769,448,228,115;318,318,872,723,813,718,470,453,485,96
441,311,139,806,472,596,829,745,248,380;241,296,242,284,631,739,265,893,210,44
154,427,460,277,134,368,639,663,870,845;154,88,784,989,88,750,449,556,383,43
557,367,717,153,739,296,908,630,114,741;320,415,432,328,178,297,44,523,599,928
757,351,740,81,95,525,290,12,869,746;770,550,377,450,603,940,82,741,197,332
910,833,213,81,51,520,860,177,448,291;613,840,431,150,699,822,899,790,832,572
287,859,80,80,594,902,288,224,12,97;511,113,118,597,158,564,249,294,476,283
755,31,170,822,255,713,409,677,545,487;898,578,134,656,614,76,388,981,229,934
893,946,986,819,595,554,39,407,976,81;266,293,450,112,577,298,330,699,195,446
160,499,425,987,904,992,41,81,130,682;423,577,354,129,394,830,32,880,751,832
928,913,649,105,983,600,86,60,360,130;200,443,901,563,593,629,56,263,301,815
364,360,773,865,818,223,677,692,130,712;185,954,108,370,571,423,475,398,93,631
424,864,184,133,23,635,934,568,773,957;594,174,877,134,479,385,357,149,698,181
552,101,308,723,939,436,561,24,510,438;472,858,228,29,613,497,673,459,865,140
329,632,71,726,3,724,713,96,772,27;444,630,683,528,534,536,473,757,575,763
173,426,811,142,478,310,411,243,568,902;331,454,447,805,202,384,465,361,913,944
957,338,925,830,353,992,42,216,884,146;866,316,940,47,924,653,55,824,979,134
742,313,64,339,782,807,953,522,926,108;61,289,732,260,960,800,430,229,569,653
93,168,535,301,591,694,689,113,716,37;53,578,342,321,711,806,530,180,354,136
313,690,205,771,905,475,310,777,201,54;888,750,598,708,873,537,354,747,91,182
520,262,70,388,426,631,963,2,238,13;687,550,246,596,198,644,110,951,186,502
584,683,84,224,718,586,754,329,311,736;437,846,640,183,650,367,308,766,962,431
548,681,386,579,161,783,913,103,397,291;219,483,514,58,455,347,424,85,170,951
633,836,412,581,86,3,817,406,905,265;222,556,98,978,142,989,922,538,6,752
